"","goAcc","Protein_ID","GO_terms"
"3457","GO:0000166","449456","nucleotide binding"
"3458","GO:0004826","449456","phenylalanine-tRNA ligase activity"
"3459","GO:0005524","449456","ATP binding"
"3460","GO:0005737","449456","cytoplasm"
"3461","GO:0006412","449456","translation"
"3462","GO:0006432","449456","phenylalanyl-tRNA aminoacylation"
"3463","GO:0003723","449456","RNA binding"
"3464","GO:0009328","449456","phenylalanine-tRNA ligase complex"
"3465","GO:0005215","449598","transporter activity"
"3466","GO:0006810","449598","transport"
"3467","GO:0016020","449598","membrane"
"3468","GO:0004368","449605","glycerol-3-phosphate dehydrogenase (quinone) activity"
"3469","GO:0006072","449605","glycerol-3-phosphate metabolic process"
"3470","GO:0009331","449605","glycerol-3-phosphate dehydrogenase complex"
"3471","GO:0005509","449605","calcium ion binding"
"3472","GO:0016491","449605","oxidoreductase activity"
"3473","GO:0005215","449654","transporter activity"
"3474","GO:0006857","449654","oligopeptide transport"
"3475","GO:0016020","449654","membrane"
"3476","GO:0008152","449771","metabolic process"
"3477","GO:0004409","449771","homoaconitate hydratase activity"
"3478","GO:0009085","449771","lysine biosynthetic process"
"3479","GO:0051539","449771","4 iron, 4 sulfur cluster binding"
"3480","GO:0004672","449790","protein kinase activity"
"3481","GO:0005524","449790","ATP binding"
"3482","GO:0006468","449790","protein phosphorylation"
"3483","GO:0004674","449790","protein serine/threonine kinase activity"
"3484","GO:0006520","449879","amino acid metabolic process"
"3485","GO:0030170","449879","pyridoxal phosphate binding"
"3486","GO:0005524","449879","ATP binding"
"3487","GO:0016301","449879","kinase activity"
"3488","GO:0016310","449879","phosphorylation"
"3489","GO:0004496","449879","mevalonate kinase activity"
"3490","GO:0005737","449879","cytoplasm"
"3491","GO:0008299","449879","isoprenoid biosynthetic process"
"3492","GO:0003871","449927","5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity"
"3493","GO:0009086","449927","methionine biosynthetic process"
"3494","GO:0008270","449927","zinc ion binding"
"3495","GO:0008652","449927","amino acid biosynthetic process"
"3496","GO:0005247","449947","voltage-gated chloride channel activity"
"3497","GO:0006821","449947","chloride transport"
"3498","GO:0016020","449947","membrane"
"3499","GO:0005216","449947","monoatomic ion channel activity"
"3500","GO:0000166","449981","nucleotide binding"
"3501","GO:0004812","449981","aminoacyl-tRNA ligase activity"
"3502","GO:0005524","449981","ATP binding"
"3503","GO:0005737","449981","cytoplasm"
"3504","GO:0006412","449981","translation"
"3505","GO:0006418","449981","tRNA aminoacylation for protein translation"
"3506","GO:0003676","449981","nucleic acid binding"
"3507","GO:0004815","449981","aspartate-tRNA ligase activity"
"3508","GO:0006520","450185","amino acid metabolic process"
"3509","GO:0016491","450185","oxidoreductase activity"
"3510","GO:0004352","450185","glutamate dehydrogenase (NAD+) activity"
"3511","GO:0000175","450259","3'-5'-RNA exonuclease activity"
"3512","GO:0004534","450259","5'-3' RNA exonuclease activity"
"3513","GO:0008415","450402","acyltransferase activity"
"3514","GO:0004092","450402","carnitine O-acetyltransferase activity"
"3515","GO:0003677","450812","DNA binding"
"3516","GO:0003700","450812","DNA-binding transcription factor activity"
"3517","GO:0005634","450812","nucleus"
"3518","GO:0045449","450812","regulation of DNA-templated transcription"
"3519","GO:0005525","450890","GTP binding"
"3520","GO:0003924","450890","GTPase activity"
"3521","GO:0050800","450890","obsolete hydrolase activity, acting on acid anhydrides, acting on GTP, involved in cellular and subcellular movement"
"3522","GO:0008152","450915","metabolic process"
"3523","GO:0016491","450915","oxidoreductase activity"
"3524","GO:0004316","450915","3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity"
"3525","GO:0003676","450919","nucleic acid binding"
"3526","GO:0003677","450919","DNA binding"
"3527","GO:0005634","450919","nucleus"
"3528","GO:0006260","450919","DNA replication"
"3529","GO:0003824","450953","catalytic activity"
"3530","GO:0000105","450953","histidine biosynthetic process"
"3531","GO:0004401","450953","histidinol-phosphatase activity"
"3532","GO:0000166","451049","nucleotide binding"
"3533","GO:0004812","451049","aminoacyl-tRNA ligase activity"
"3534","GO:0005524","451049","ATP binding"
"3535","GO:0005737","451049","cytoplasm"
"3536","GO:0006412","451049","translation"
"3537","GO:0006418","451049","tRNA aminoacylation for protein translation"
"3538","GO:0004823","451049","leucine-tRNA ligase activity"
"3539","GO:0006429","451049","leucyl-tRNA aminoacylation"
"3540","GO:0016972","451060","thiol oxidase activity"
"3541","GO:0003677","451122","DNA binding"
"3542","GO:0003899","451122","DNA-directed 5'-3' RNA polymerase activity"
"3543","GO:0006350","451122","DNA-templated transcription"
"3544","GO:0046983","451122","protein dimerization activity"
"3545","GO:0006814","451391","sodium ion transport"
"3546","GO:0006885","451391","regulation of pH"
"3547","GO:0015385","451391","sodium:proton antiporter activity"
"3548","GO:0016021","451391","membrane"
"3549","GO:0015299","451391","obsolete solute:proton antiporter activity"
"3550","GO:0005524","451424","ATP binding"
"3551","GO:0006810","451424","transport"
"3552","GO:0015662","451424","P-type ion transporter activity"
"3553","GO:0016020","451424","membrane"
"3554","GO:0030001","451424","metal ion transport"
"3555","GO:0046872","451424","metal ion binding"
"3556","GO:0016820","451424","ATPase-coupled transmembrane transporter activity"
"3557","GO:0016021","451488","membrane"
"3558","GO:0005488","451569","binding"
"3559","GO:0047927","451657","gibberellin-44 dioxygenase activity"
"3560","GO:0003856","451721","3-dehydroquinate synthase activity"
"3561","GO:0000786","451760","nucleosome"
"3562","GO:0003677","451760","DNA binding"
"3563","GO:0005634","451760","nucleus"
"3564","GO:0006334","451760","nucleosome assembly"
"3565","GO:0006364","451770","rRNA processing"
"3566","GO:0032040","451770","small-subunit processome"
"3567","GO:0005737","451793","cytoplasm"
"3568","GO:0006886","451793","intracellular protein transport"
"3569","GO:0003677","451837","DNA binding"
"3570","GO:0003887","451837","DNA-directed DNA polymerase activity"
"3571","GO:0005634","451837","nucleus"
"3572","GO:0006260","451837","DNA replication"
"3573","GO:0003676","451850","nucleic acid binding"
"3574","GO:0005524","451850","ATP binding"
"3575","GO:0008026","451850","helicase activity"
"3576","GO:0004386","451850","helicase activity"
"3577","GO:0005488","451856","binding"
"3578","GO:0008152","451961","metabolic process"
"3579","GO:0016624","451961","oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor"
"3580","GO:0004591","451961","oxoglutarate dehydrogenase (succinyl-transferring) activity"
"3581","GO:0006096","451961","glycolytic process"
"3582","GO:0030976","451961","thiamine pyrophosphate binding"
"3583","GO:0004765","451989","shikimate kinase activity"
"3584","GO:0005524","451989","ATP binding"
"3585","GO:0003855","451989","3-dehydroquinate dehydratase activity"
"3586","GO:0009073","451989","aromatic amino acid family biosynthetic process"
"3587","GO:0016765","451989","transferase activity, transferring alkyl or aryl (other than methyl) groups"
"3588","GO:0004764","451989","shikimate 3-dehydrogenase (NADP+) activity"
"3589","GO:0005737","451989","cytoplasm"
"3590","GO:0003866","451989","3-phosphoshikimate 1-carboxyvinyltransferase activity"
"3591","GO:0003856","451989","3-dehydroquinate synthase activity"
"3592","GO:0003824","451989","catalytic activity"
"3593","GO:0003735","452061","structural constituent of ribosome"
"3594","GO:0005622","452061","intracellular anatomical structure"
"3595","GO:0005840","452061","ribosome"
"3596","GO:0006412","452061","translation"
"3597","GO:0005634","452245","nucleus"
"3598","GO:0006364","452245","rRNA processing"
"3599","GO:0008168","452245","methyltransferase activity"
"3600","GO:0000179","452245","rRNA (adenine-N6,N6-)-dimethyltransferase activity"
"3601","GO:0003880","452245","protein C-terminal carboxyl O-methyltransferase activity"
"3602","GO:0008169","452245","C-methyltransferase activity"
"3603","GO:0008170","452245","N-methyltransferase activity"
"3604","GO:0008171","452245","O-methyltransferase activity"
"3605","GO:0008172","452245","S-methyltransferase activity"
"3606","GO:0008173","452245","RNA methyltransferase activity"
"3607","GO:0008174","452245","mRNA methyltransferase activity"
"3608","GO:0008175","452245","tRNA methyltransferase activity"
"3609","GO:0008276","452245","protein methyltransferase activity"
"3610","GO:0008326","452245","DNA (cytosine-5-)-methyltransferase activity"
"3611","GO:0008425","452245","2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity"
"3612","GO:0008649","452245","rRNA methyltransferase activity"
"3613","GO:0008650","452245","rRNA (uridine-2'-O-)-methyltransferase activity"
"3614","GO:0009008","452245","DNA-methyltransferase activity"
"3615","GO:0009383","452245","rRNA (cytosine-C5-)-methyltransferase activity"
"3616","GO:0016205","452245","selenocysteine methyltransferase activity"
"3617","GO:0016273","452245","arginine N-methyltransferase activity"
"3618","GO:0016274","452245","protein-arginine N-methyltransferase activity"
"3619","GO:0016278","452245","lysine N-methyltransferase activity"
"3620","GO:0016279","452245","protein-lysine N-methyltransferase activity"
"3621","GO:0016300","452245","tRNA (uracil) methyltransferase activity"
"3622","GO:0016423","452245","tRNA (guanine) methyltransferase activity"
"3623","GO:0016424","452245","tRNA (guanine) methyltransferase activity"
"3624","GO:0016426","452245","tRNA (adenine) methyltransferase activity"
"3625","GO:0016427","452245","tRNA (cytosine) methyltransferase activity"
"3626","GO:0016431","452245","tRNA (uracil) methyltransferase activity"
"3627","GO:0016433","452245","rRNA (adenine) methyltransferase activity"
"3628","GO:0016434","452245","rRNA (cytosine) methyltransferase activity"
"3629","GO:0016435","452245","rRNA (guanine) methyltransferase activity"
"3630","GO:0016436","452245","rRNA (uridine) methyltransferase activity"
"3631","GO:0018423","452245","protein C-terminal leucine carboxyl O-methyltransferase activity"
"3632","GO:0018707","452245","1-phenanthrol methyltransferase activity"
"3633","GO:0019702","452245","protein arginine N5-methyltransferase activity"
"3634","GO:0030792","452245","methylarsonite methyltransferase activity"
"3635","GO:0043770","452245","demethylmenaquinone methyltransferase activity"
"3636","GO:0043776","452245","cobalt-precorrin-6B C5-methyltransferase activity"
"3637","GO:0043777","452245","cobalt-precorrin-7 C15-methyltransferase activity"
"3638","GO:0043780","452245","cobalt-precorrin-5B C1-methyltransferase activity"
"3639","GO:0043782","452245","cobalt-precorrin-3 C17-methyltransferase activity"
"3640","GO:0043790","452245","rRNA (adenine-N6,N6-)-dimethyltransferase activity"
"3641","GO:0043791","452245","dimethylamine methyltransferase activity"
"3642","GO:0043803","452245","hydroxyneurosporene-O-methyltransferase activity"
"3643","GO:0043827","452245","tRNA (adenine-57, 58-N(1)-) methyltransferase activity"
"3644","GO:0043833","452245","[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase activity"
"3645","GO:0043834","452245","trimethylamine methyltransferase activity"
"3646","GO:0043851","452245","[methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase"
"3647","GO:0043852","452245","monomethylamine methyltransferase activity"
"3648","GO:0006284","452272","base-excision repair"
"3649","GO:0003824","452272","catalytic activity"
"3650","GO:0006281","452272","DNA repair"
"3651","GO:0003684","452272","damaged DNA binding"
"3652","GO:0006289","452272","nucleotide-excision repair"
"3653","GO:0008534","452272","oxidized purine nucleobase lesion DNA N-glycosylase activity"
"3654","GO:0003824","452572","catalytic activity"
"3655","GO:0008152","452572","metabolic process"
"3656","GO:0016207","452572","4-coumarate-CoA ligase activity"
"3657","GO:0043365","453006","[formate-C-acetyltransferase]-activating enzyme activity"
"3658","GO:0009107","453185","lipoate biosynthetic process"
"3659","GO:0016992","453185","lipoate synthase activity"
"3660","GO:0003824","453185","catalytic activity"
"3661","GO:0051536","453185","iron-sulfur cluster binding"
"3662","GO:0003824","453219","catalytic activity"
"3663","GO:0004741","453219","[pyruvate dehydrogenase (lipoamide)] phosphatase activity"
"3664","GO:0019909","453219","[pyruvate dehydrogenase (lipoamide)] phosphatase regulator activity"
"3665","GO:0004672","453247","protein kinase activity"
"3666","GO:0005524","453247","ATP binding"
"3667","GO:0006468","453247","protein phosphorylation"
"3668","GO:0004674","453247","protein serine/threonine kinase activity"
"3669","GO:0004675","453247","transmembrane receptor protein serine/threonine kinase activity"
"3670","GO:0004676","453247","3-phosphoinositide-dependent protein kinase activity"
"3671","GO:0004677","453247","DNA-dependent protein kinase activity"
"3672","GO:0004679","453247","AMP-activated protein kinase activity"
"3673","GO:0004680","453247","obsolete casein kinase activity"
"3674","GO:0004681","453247","obsolete casein kinase I activity"
"3675","GO:0004690","453247","cyclic nucleotide-dependent protein kinase activity"
"3676","GO:0004694","453247","eukaryotic translation initiation factor 2alpha kinase activity"
"3677","GO:0004695","453247","protein serine/threonine kinase activity"
"3678","GO:0004696","453247","protein serine/threonine kinase activity"
"3679","GO:0004698","453247","calcium-dependent protein kinase C activity"
"3680","GO:0004700","453247","protein serine/threonine kinase activity"
"3681","GO:0004702","453247","obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"
"3682","GO:0004704","453247","NF-kappaB-inducing kinase activity"
"3683","GO:0004705","453247","JUN kinase activity"
"3684","GO:0004706","453247","JUN kinase kinase kinase activity"
"3685","GO:0004708","453247","MAP kinase kinase activity"
"3686","GO:0004710","453247","MAP kinase kinase kinase activity"
"3687","GO:0004711","453247","ribosomal protein S6 kinase activity"
"3688","GO:0004718","453247","protein tyrosine kinase activity"
"3689","GO:0008338","453247","MAP kinase activity"
"3690","GO:0008339","453247","MAP kinase activity"
"3691","GO:0008349","453247","MAP kinase kinase kinase kinase activity"
"3692","GO:0008545","453247","JUN kinase kinase activity"
"3693","GO:0016908","453247","MAP kinase activity"
"3694","GO:0016909","453247","MAP kinase activity"
"3695","GO:0019199","453247","transmembrane receptor protein kinase activity"
"3696","GO:0019912","453247","cyclin-dependent protein kinase activating kinase activity"
"3697","GO:0034211","453247","GTP-dependent protein kinase activity"
"3698","GO:0008152","453454","metabolic process"
"3699","GO:0016829","453454","lyase activity"
"3700","GO:0003676","453652","nucleic acid binding"
"3701","GO:0005622","453652","intracellular anatomical structure"
"3702","GO:0008270","453652","zinc ion binding"
"3703","GO:0004350","453708","glutamate-5-semialdehyde dehydrogenase activity"
"3704","GO:0006561","453708","proline biosynthetic process"
"3705","GO:0050661","453708","NADP binding"
"3706","GO:0008152","453708","metabolic process"
"3707","GO:0016491","453708","oxidoreductase activity"
"3708","GO:0008152","453862","metabolic process"
"3709","GO:0016829","453862","lyase activity"
"3710","GO:0006364","453963","rRNA processing"
"3711","GO:0030688","453963","preribosome, small subunit precursor"
"3712","GO:0004672","454009","protein kinase activity"
"3713","GO:0005524","454009","ATP binding"
"3714","GO:0006468","454009","protein phosphorylation"
"3715","GO:0004674","454009","protein serine/threonine kinase activity"
"3716","GO:0004682","454009","obsolete protein kinase CK2 activity"
"3717","GO:0005488","454065","binding"
"3718","GO:0000786","454221","nucleosome"
"3719","GO:0003677","454221","DNA binding"
"3720","GO:0005634","454221","nucleus"
"3721","GO:0006334","454221","nucleosome assembly"
"3722","GO:0005488","454314","binding"
"3723","GO:0016021","454328","membrane"
"3724","GO:0006388","454431","tRNA splicing, via endonucleolytic cleavage and ligation"
"3725","GO:0016772","454431","transferase activity, transferring phosphorus-containing groups"
"3726","GO:0000215","454431","tRNA 2'-phosphotransferase activity"
"3727","GO:0005351","454533","carbohydrate:proton symporter activity"
"3728","GO:0008643","454533","carbohydrate transport"
"3729","GO:0016020","454533","membrane"
"3730","GO:0005215","454533","transporter activity"
"3731","GO:0006810","454533","transport"
"3732","GO:0016021","454533","membrane"
"3733","GO:0016812","454668","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides"
"3734","GO:0004151","454668","dihydroorotase activity"
"3735","GO:0019856","454668","pyrimidine nucleobase biosynthetic process"
"3736","GO:0003824","454668","catalytic activity"
"3737","GO:0008152","454668","metabolic process"
"3738","GO:0005524","454819","ATP binding"
"3739","GO:0006298","454819","mismatch repair"
"3740","GO:0030983","454819","mismatched DNA binding"
"3741","GO:0032301","454819","MutSalpha complex"
"3742","GO:0032302","454819","MutSbeta complex"
"3743","GO:0003735","454894","structural constituent of ribosome"
"3744","GO:0005622","454894","intracellular anatomical structure"
"3745","GO:0005840","454894","ribosome"
"3746","GO:0006412","454894","translation"
"3747","GO:0003676","454950","nucleic acid binding"
"3748","GO:0004386","454950","helicase activity"
"3749","GO:0005524","454950","ATP binding"
"3750","GO:0008026","454950","helicase activity"
"3751","GO:0003677","455146","DNA binding"
"3752","GO:0008168","455159","methyltransferase activity"
"3753","GO:0009058","455159","biosynthetic process"
"3754","GO:0016742","455159","hydroxymethyl-, formyl- and related transferase activity"
"3755","GO:0004644","455159","phosphoribosylglycinamide formyltransferase activity"
"3756","GO:0006189","455159","'de novo' IMP biosynthetic process"
"3757","GO:0003677","455308","DNA binding"
"3758","GO:0005524","455308","ATP binding"
"3759","GO:0006270","455308","DNA replication initiation"
"3760","GO:0008094","455308","ATP-dependent activity, acting on DNA"
"3761","GO:0003677","455560","DNA binding"
"3762","GO:0003887","455560","DNA-directed DNA polymerase activity"
"3763","GO:0005634","455560","nucleus"
"3764","GO:0006260","455560","DNA replication"
"3765","GO:0034061","455560","DNA polymerase activity"
"3766","GO:0006508","455646","proteolysis"
"3767","GO:0008236","455646","serine-type peptidase activity"
"3768","GO:0008152","455646","metabolic process"
"3769","GO:0016787","455646","hydrolase activity"
"3770","GO:0004620","455646","phospholipase activity"
"3771","GO:0016298","455646","lipase activity"
"3772","GO:0018731","455646","1-oxa-2-oxocycloheptane lactonase activity"
"3773","GO:0018732","455646","sulfolactone hydrolase activity"
"3774","GO:0018733","455646","3,4-dihydrocoumarin hydrolase activity"
"3775","GO:0018734","455646","butyrolactone hydrolase activity"
"3776","GO:0016020","455650","membrane"
"3777","GO:0003676","455754","nucleic acid binding"
"3778","GO:0000166","455940","nucleotide binding"
"3779","GO:0017111","455940","ribonucleoside triphosphate phosphatase activity"
"3780","GO:0003777","455940","microtubule motor activity"
"3781","GO:0007018","455940","microtubule-based movement"
"3782","GO:0030286","455940","dynein complex"
"3783","GO:0005524","455940","ATP binding"
"3784","GO:0016887","455940","ATP hydrolysis activity"
"3785","GO:0003677","455953","DNA binding"
"3786","GO:0003899","455953","DNA-directed 5'-3' RNA polymerase activity"
"3787","GO:0006350","455953","DNA-templated transcription"
"3788","GO:0003900","455953","obsolete DNA-directed RNA polymerase I activity"
"3789","GO:0003901","455953","obsolete DNA-directed RNA polymerase II activity"
"3790","GO:0003902","455953","obsolete DNA-directed RNA polymerase III activity"
"3791","GO:0034062","455953","5'-3' RNA polymerase activity"
"3792","GO:0019787","456054","ubiquitin-like protein transferase activity"
"3793","GO:0043687","456054","post-translational protein modification"
"3794","GO:0051246","456054","regulation of protein metabolic process"
"3795","GO:0004842","456054","ubiquitin-protein transferase activity"
"3796","GO:0051438","456054","regulation of ubiquitin-protein transferase activity"
"3797","GO:0051440","456054","obsolete regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle"
"3798","GO:0051443","456054","positive regulation of ubiquitin-protein transferase activity"
"3799","GO:0051444","456054","negative regulation of ubiquitin-protein transferase activity"
"3800","GO:0004565","456252","beta-galactosidase activity"
"3801","GO:0005975","456252","carbohydrate metabolic process"
"3802","GO:0009341","456252","beta-galactosidase complex"
"3803","GO:0004553","456252","hydrolase activity, hydrolyzing O-glycosyl compounds"
"3804","GO:0003824","456252","catalytic activity"
"3805","GO:0030246","456252","carbohydrate binding"
"3806","GO:0003824","456416","catalytic activity"
"3807","GO:0004642","456416","phosphoribosylformylglycinamidine synthase activity"
"3808","GO:0006189","456416","'de novo' IMP biosynthetic process"
"3809","GO:0003676","456667","nucleic acid binding"
"3810","GO:0005524","456667","ATP binding"
"3811","GO:0008026","456667","helicase activity"
"3812","GO:0004386","456667","helicase activity"
"3813","GO:0004784","456742","superoxide dismutase activity"
"3814","GO:0006801","456742","superoxide metabolic process"
"3815","GO:0046872","456742","metal ion binding"
"3816","GO:0006364","456822","rRNA processing"
"3817","GO:0032040","456822","small-subunit processome"
"3818","GO:0003700","456864","DNA-binding transcription factor activity"
"3819","GO:0005634","456864","nucleus"
"3820","GO:0006355","456864","regulation of DNA-templated transcription"
"3821","GO:0043565","456864","sequence-specific DNA binding"
"3822","GO:0003755","457052","peptidyl-prolyl cis-trans isomerase activity"
"3823","GO:0006457","457052","protein folding"
"3824","GO:0000151","457052","ubiquitin ligase complex"
"3825","GO:0004842","457052","ubiquitin-protein transferase activity"
"3826","GO:0016567","457052","protein ubiquitination"
"3827","GO:0004600","457052","obsolete cyclophilin"
"3828","GO:0030051","457052","obsolete FK506-sensitive peptidyl-prolyl cis-trans isomerase"
"3829","GO:0042027","457052","obsolete cyclophilin-type peptidyl-prolyl cis-trans isomerase activity"
"3830","GO:0004222","457280","metalloendopeptidase activity"
"3831","GO:0008270","457280","zinc ion binding"
"3832","GO:0004249","457280","obsolete stromelysin 3 activity"
"3833","GO:0008133","457280","obsolete collagenase activity"
"3834","GO:0008319","457280","obsolete prenyl protein specific endopeptidase activity"
"3835","GO:0030402","457280","obsolete matrilysin-2 activity"
"3836","GO:0004476","457291","mannose-6-phosphate isomerase activity"
"3837","GO:0005975","457291","carbohydrate metabolic process"
"3838","GO:0008270","457291","zinc ion binding"
"3839","GO:0003779","457419","actin binding"
"3840","GO:0016043","457419","cellular component organization"
"3841","GO:0017048","457419","small GTPase binding"
"3842","GO:0030036","457419","actin cytoskeleton organization"
"3843","GO:0005488","457419","binding"
"3844","GO:0004518","457434","nuclease activity"
"3845","GO:0006281","457434","DNA repair"
"3846","GO:0004553","457480","hydrolase activity, hydrolyzing O-glycosyl compounds"
"3847","GO:0005975","457480","carbohydrate metabolic process"
"3848","GO:0003824","457480","catalytic activity"
"3849","GO:0030246","457480","carbohydrate binding"
"3850","GO:0004558","457480","alpha-1,4-glucosidase activity"
"3851","GO:0005634","457550","nucleus"
"3852","GO:0030785","457550","[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity"
"3853","GO:0009058","457566","biosynthetic process"
"3854","GO:0003824","457588","catalytic activity"
"3855","GO:0008152","457588","metabolic process"
"3856","GO:0004084","457588","branched-chain-amino-acid transaminase activity"
"3857","GO:0009081","457588","branched-chain amino acid metabolic process"
"3858","GO:0005315","457605","inorganic phosphate transmembrane transporter activity"
"3859","GO:0006817","457605","phosphate ion transport"
"3860","GO:0016020","457605","membrane"
"3861","GO:0004449","457674","isocitrate dehydrogenase (NAD+) activity"
"3862","GO:0005739","457674","mitochondrion"
"3863","GO:0006099","457674","tricarboxylic acid cycle"
"3864","GO:0004448","457674","isocitrate dehydrogenase [NAD(P)+] activity"
"3865","GO:0003735","457841","structural constituent of ribosome"
"3866","GO:0005622","457841","intracellular anatomical structure"
"3867","GO:0005840","457841","ribosome"
"3868","GO:0006412","457841","translation"
"3869","GO:0003677","458237","DNA binding"
"3870","GO:0005524","458237","ATP binding"
"3871","GO:0003676","458237","nucleic acid binding"
"3872","GO:0004386","458237","helicase activity"
"3873","GO:0016585","458237","obsolete chromatin remodeling complex"
"3874","GO:0031491","458237","nucleosome binding"
"3875","GO:0043044","458237","chromatin remodeling"
"3876","GO:0004017","458477","adenylate kinase activity"
"3877","GO:0003700","458542","DNA-binding transcription factor activity"
"3878","GO:0005634","458542","nucleus"
"3879","GO:0006355","458542","regulation of DNA-templated transcription"
"3880","GO:0043565","458542","sequence-specific DNA binding"
"3881","GO:0000907","458756","sulfonate dioxygenase activity"
"3882","GO:0010302","458756","2-oxoglutarate-dependent dioxygenase activity"
"3883","GO:0018602","458756","2,4-dichlorophenoxyacetate alpha-ketoglutarate dioxygenase activity"
"3884","GO:0019798","458756","procollagen-proline dioxygenase activity"
"3885","GO:0043734","458756","DNA-N1-methyladenine dioxygenase activity"
"3886","GO:0000907","458766","sulfonate dioxygenase activity"
"3887","GO:0010302","458766","2-oxoglutarate-dependent dioxygenase activity"
"3888","GO:0018602","458766","2,4-dichlorophenoxyacetate alpha-ketoglutarate dioxygenase activity"
"3889","GO:0019798","458766","procollagen-proline dioxygenase activity"
"3890","GO:0043734","458766","DNA-N1-methyladenine dioxygenase activity"
"3891","GO:0005215","458828","transporter activity"
"3892","GO:0006810","458828","transport"
"3893","GO:0016021","458828","membrane"
"3894","GO:0016020","458828","membrane"
"3895","GO:0016021","458848","membrane"
"3896","GO:0003824","458870","catalytic activity"
"3897","GO:0008152","458870","metabolic process"
"3898","GO:0030170","458870","pyridoxal phosphate binding"
"3899","GO:0004834","458870","tryptophan synthase activity"
"3900","GO:0006568","458870","tryptophan metabolic process"
"3901","GO:0000166","458898","nucleotide binding"
"3902","GO:0017111","458898","ribonucleoside triphosphate phosphatase activity"
"3903","GO:0005524","458898","ATP binding"
"3904","GO:0006118","458921","obsolete electron transport"
"3905","GO:0016491","458921","oxidoreductase activity"
"3906","GO:0000907","458921","sulfonate dioxygenase activity"
"3907","GO:0010302","458921","2-oxoglutarate-dependent dioxygenase activity"
"3908","GO:0018602","458921","2,4-dichlorophenoxyacetate alpha-ketoglutarate dioxygenase activity"
"3909","GO:0019798","458921","procollagen-proline dioxygenase activity"
"3910","GO:0043734","458921","DNA-N1-methyladenine dioxygenase activity"
"3911","GO:0004070","459091","aspartate carbamoyltransferase activity"
"3912","GO:0006207","459091","'de novo' pyrimidine nucleobase biosynthetic process"
"3913","GO:0004086","459091","obsolete carbamoyl-phosphate synthase activity"
"3914","GO:0006807","459091","nitrogen compound metabolic process"
"3915","GO:0003824","459091","catalytic activity"
"3916","GO:0005524","459091","ATP binding"
"3917","GO:0008152","459091","metabolic process"
"3918","GO:0006520","459091","amino acid metabolic process"
"3919","GO:0016597","459091","amino acid binding"
"3920","GO:0016743","459091","carboxyl- or carbamoyltransferase activity"
"3921","GO:0016810","459091","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
"3922","GO:0016020","459113","membrane"
"3923","GO:0004100","459361","chitin synthase activity"
"3924","GO:0006031","459361","chitin biosynthetic process"
"3925","GO:0005524","459486","ATP binding"
"3926","GO:0005622","459503","intracellular anatomical structure"
"3927","GO:0043565","459503","sequence-specific DNA binding"
"3928","GO:0003677","459503","DNA binding"
"3929","GO:0003887","459503","DNA-directed DNA polymerase activity"
"3930","GO:0034061","459503","DNA polymerase activity"
"3931","GO:0031072","459575","heat shock protein binding"
"3932","GO:0005524","459638","ATP binding"
"3933","GO:0006457","459638","protein folding"
"3934","GO:0051082","459638","unfolded protein binding"
"3935","GO:0005515","459638","protein binding"
"3936","GO:0044267","459638","protein metabolic process"
"3937","GO:0016469","459707","proton-transporting two-sector ATPase complex"
"3938","GO:0046961","459707","proton-transporting ATPase activity, rotational mechanism"
"3939","GO:0003677","459718","DNA binding"
"3940","GO:0005524","459718","ATP binding"
"3941","GO:0003676","459718","nucleic acid binding"
"3942","GO:0004386","459718","helicase activity"
"3943","GO:0005525","459794","GTP binding"
"3944","GO:0000810","459794","diacylglycerol diphosphate phosphatase activity"
"3945","GO:0004787","459794","thiamine diphosphate phosphatase activity"
"3946","GO:0008413","459794","8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity"
"3947","GO:0008758","459794","UDP-2,3-diacylglucosamine hydrolase activity"
"3948","GO:0008796","459794","bis(5'-nucleosyl)-tetraphosphatase activity"
"3949","GO:0008828","459794","dATP diphosphatase activity"
"3950","GO:0016462","459794","pyrophosphatase activity"
"3951","GO:0019176","459794","dihydroneopterin monophosphate phosphatase activity"
"3952","GO:0019177","459794","dihydroneopterin triphosphate pyrophosphohydrolase activity"
"3953","GO:0043141","459794","5'-3' DNA helicase activity"
"3954","GO:0004671","459798","protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity"
"3955","GO:0006481","459798","C-terminal protein methylation"
"3956","GO:0016021","459798","membrane"
"3957","GO:0003677","459901","DNA binding"
"3958","GO:0003887","459901","DNA-directed DNA polymerase activity"
"3959","GO:0006350","459901","DNA-templated transcription"
"3960","GO:0005488","459901","binding"
"3961","GO:0034061","459901","DNA polymerase activity"
"3962","GO:0008152","459963","metabolic process"
